date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-04-01,Finance,525130,10000,50,3709
2024-04-01,IT,704176,15000,50,3299
2024-04-01,HR,294405,8000,50,2132
2024-04-01,Operations,643805,12000,50,4081
2024-04-02,Finance,532357,10000,50,2184
2024-04-02,IT,696624,15000,50,4223
2024-04-02,HR,301861,8000,50,5799
2024-04-02,Operations,651967,12000,50,4672
2024-04-03,Finance,517300,10000,50,5253
2024-04-03,IT,716336,15000,50,5223
2024-04-03,HR,292851,8000,50,3034
2024-04-03,Operations,622377,12000,50,5775
2024-04-04,Finance,534338,10000,50,3356
2024-04-04,IT,695354,15000,50,3454
2024-04-04,HR,305198,8000,50,4426
2024-04-04,Operations,641530,12000,50,5762
2024-04-05,Finance,520501,10000,50,3687
2024-04-05,IT,750024,15000,50,4364
2024-04-05,HR,304118,8000,50,3100
2024-04-05,Operations,572968,12000,50,5225
2024-04-06,Finance,509384,10000,50,2506
2024-04-06,IT,688096,15000,50,2164
2024-04-06,HR,329778,8000,50,3163
2024-04-06,Operations,570402,12000,50,5395
2024-04-07,Finance,531824,10000,50,3771
2024-04-07,IT,714894,15000,50,4735
2024-04-07,HR,321099,8000,50,2299
2024-04-07,Operations,598371,12000,50,3455
2024-04-08,Finance,545408,10000,50,2257
2024-04-08,IT,668293,15000,50,5709
2024-04-08,HR,289088,8000,50,2935
2024-04-08,Operations,598525,12000,50,5530
2024-04-09,Finance,521749,10000,50,2583
2024-04-09,IT,751848,15000,50,5415
2024-04-09,HR,311825,8000,50,4016
2024-04-09,Operations,595438,12000,50,4053
2024-04-10,Finance,525132,10000,50,3871
2024-04-10,IT,761218,15000,50,5078
2024-04-10,HR,328702,8000,50,5718
2024-04-10,Operations,619268,12000,50,3512
2024-04-11,Finance,483463,10000,50,5314
2024-04-11,IT,689429,15000,50,5253
2024-04-11,HR,302790,8000,50,4299
2024-04-11,Operations,582267,12000,50,3801
2024-04-12,Finance,515556,10000,50,3550
2024-04-12,IT,747019,15000,50,5780
2024-04-12,HR,329923,8000,50,3705
2024-04-12,Operations,637558,12000,50,4836
2024-04-13,Finance,479330,10000,50,5414
2024-04-13,IT,735246,15000,50,2807
2024-04-13,HR,286589,8000,50,2126
2024-04-13,Operations,578308,12000,50,5114
2024-04-14,Finance,475318,10000,50,2033
2024-04-14,IT,717308,15000,50,4712
2024-04-14,HR,318647,8000,50,5945
2024-04-14,Operations,597668,12000,50,3437
2024-04-15,Finance,492149,10000,50,2696
2024-04-15,IT,753641,15000,50,3716
2024-04-15,HR,326433,8000,50,3115
2024-04-15,Operations,597593,12000,50,3511
