date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-02-01,Finance,477622,10000,50,3201
2024-02-01,IT,676046,15000,50,5709
2024-02-01,HR,319271,8000,50,3453
2024-02-01,Operations,616097,12000,50,4723
2024-02-02,Finance,524164,10000,50,5578
2024-02-02,IT,768743,15000,50,4516
2024-02-02,HR,286402,8000,50,3221
2024-02-02,Operations,574418,12000,50,4417
2024-02-03,Finance,526620,10000,50,3339
2024-02-03,IT,717749,15000,50,2095
2024-02-03,HR,310565,8000,50,4685
2024-02-03,Operations,571890,12000,50,2629
2024-02-04,Finance,488075,10000,50,3822
2024-02-04,IT,720075,15000,50,3134
2024-02-04,HR,305720,8000,50,3754
2024-02-04,Operations,649082,12000,50,2605
2024-02-05,Finance,500747,10000,50,3613
2024-02-05,IT,703284,15000,50,5951
2024-02-05,HR,310346,8000,50,4164
2024-02-05,Operations,590883,12000,50,5546
2024-02-06,Finance,531266,10000,50,2285
2024-02-06,IT,742250,15000,50,5439
2024-02-06,HR,306230,8000,50,4042
2024-02-06,Operations,579060,12000,50,2592
2024-02-07,Finance,501816,10000,50,5093
2024-02-07,IT,699999,15000,50,4946
2024-02-07,HR,324927,8000,50,4864
2024-02-07,Operations,581633,12000,50,4793
2024-02-08,Finance,508657,10000,50,5596
2024-02-08,IT,737303,15000,50,5157
2024-02-08,HR,287224,8000,50,4742
2024-02-08,Operations,639407,12000,50,3162
2024-02-09,Finance,517807,10000,50,5999
2024-02-09,IT,665152,15000,50,4890
2024-02-09,HR,286758,8000,50,5396
2024-02-09,Operations,603815,12000,50,4552
2024-02-10,Finance,508424,10000,50,2973
2024-02-10,IT,720834,15000,50,5955
2024-02-10,HR,320640,8000,50,3451
2024-02-10,Operations,598917,12000,50,5311
2024-02-11,Finance,508809,10000,50,5225
2024-02-11,IT,748306,15000,50,2949
2024-02-11,HR,309027,8000,50,4221
2024-02-11,Operations,594885,12000,50,3131
2024-02-12,Finance,519429,10000,50,3926
2024-02-12,IT,725074,15000,50,4452
2024-02-12,HR,292630,8000,50,3313
2024-02-12,Operations,626593,12000,50,4225
2024-02-13,Finance,542835,10000,50,4545
2024-02-13,IT,704776,15000,50,2962
2024-02-13,HR,304208,8000,50,3197
2024-02-13,Operations,578301,12000,50,4734
2024-02-14,Finance,547514,10000,50,2112
2024-02-14,IT,707574,15000,50,2415
2024-02-14,HR,315617,8000,50,4344
2024-02-14,Operations,645439,12000,50,5029
2024-02-15,Finance,510694,10000,50,2526
2024-02-15,IT,758256,15000,50,4054
2024-02-15,HR,303657,8000,50,5054
2024-02-15,Operations,657443,12000,50,3537
