date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-01-16,Finance,509500,10000,50,2964
2024-01-16,IT,699126,15000,50,2047
2024-01-16,HR,321086,8000,50,4525
2024-01-16,Operations,645648,12000,50,2743
2024-01-17,Finance,527492,10000,50,5744
2024-01-17,IT,690103,15000,50,3089
2024-01-17,HR,303136,8000,50,3069
2024-01-17,Operations,613951,12000,50,4100
2024-01-18,Finance,512134,10000,50,4297
2024-01-18,IT,672970,15000,50,4255
2024-01-18,HR,327996,8000,50,5749
2024-01-18,Operations,626623,12000,50,4450
2024-01-19,Finance,545286,10000,50,5256
2024-01-19,IT,698402,15000,50,2338
2024-01-19,HR,322219,8000,50,3969
2024-01-19,Operations,657008,12000,50,3824
2024-01-20,Finance,517274,10000,50,5776
2024-01-20,IT,752538,15000,50,5037
2024-01-20,HR,287083,8000,50,3135
2024-01-20,Operations,625509,12000,50,4202
2024-01-21,Finance,492667,10000,50,5619
2024-01-21,IT,748643,15000,50,5797
2024-01-21,HR,304791,8000,50,2883
2024-01-21,Operations,599858,12000,50,3284
2024-01-22,Finance,511197,10000,50,2305
2024-01-22,IT,680575,15000,50,2471
2024-01-22,HR,311985,8000,50,5068
2024-01-22,Operations,613093,12000,50,4966
2024-01-23,Finance,537508,10000,50,4289
2024-01-23,IT,714863,15000,50,5649
2024-01-23,HR,308335,8000,50,5464
2024-01-23,Operations,591606,12000,50,4913
2024-01-24,Finance,515948,10000,50,4674
2024-01-24,IT,696996,15000,50,5407
2024-01-24,HR,312062,8000,50,2641
2024-01-24,Operations,629540,12000,50,4272
2024-01-25,Finance,484195,10000,50,2558
2024-01-25,IT,677418,15000,50,3889
2024-01-25,HR,316093,8000,50,3299
2024-01-25,Operations,616222,12000,50,2620
2024-01-26,Finance,538588,10000,50,5607
2024-01-26,IT,719802,15000,50,3366
2024-01-26,HR,299029,8000,50,2722
2024-01-26,Operations,654646,12000,50,4543
2024-01-27,Finance,476654,10000,50,3736
2024-01-27,IT,761800,15000,50,5728
2024-01-27,HR,315644,8000,50,2583
2024-01-27,Operations,592237,12000,50,4743
2024-01-28,Finance,545237,10000,50,3870
2024-01-28,IT,682003,15000,50,5789
2024-01-28,HR,316379,8000,50,4813
2024-01-28,Operations,613956,12000,50,3075
2024-01-29,Finance,526763,10000,50,3986
2024-01-29,IT,742210,15000,50,3051
2024-01-29,HR,325526,8000,50,2793
2024-01-29,Operations,578999,12000,50,3844
2024-01-30,Finance,500933,10000,50,3605
2024-01-30,IT,734064,15000,50,5960
2024-01-30,HR,303953,8000,50,3379
2024-01-30,Operations,593895,12000,50,4253
2024-01-31,Finance,476445,10000,50,2342
2024-01-31,IT,712438,15000,50,3760
2024-01-31,HR,298139,8000,50,4666
2024-01-31,Operations,605472,12000,50,3788
