date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-06-01,Finance,522695,10000,50,4620
2024-06-01,IT,698523,15000,50,5364
2024-06-01,HR,296306,8000,50,5996
2024-06-01,Operations,613047,12000,50,5068
2024-06-02,Finance,480029,10000,50,3759
2024-06-02,IT,754963,15000,50,4957
2024-06-02,HR,290597,8000,50,3988
2024-06-02,Operations,615525,12000,50,5364
2024-06-03,Finance,507372,10000,50,4691
2024-06-03,IT,667203,15000,50,5129
2024-06-03,HR,289677,8000,50,4878
2024-06-03,Operations,616875,12000,50,5466
2024-06-04,Finance,480077,10000,50,5165
2024-06-04,IT,734387,15000,50,3038
2024-06-04,HR,323015,8000,50,2495
2024-06-04,Operations,649809,12000,50,5557
2024-06-05,Finance,518670,10000,50,2236
2024-06-05,IT,744072,15000,50,4382
2024-06-05,HR,307892,8000,50,4115
2024-06-05,Operations,570441,12000,50,3652
2024-06-06,Finance,503019,10000,50,5917
2024-06-06,IT,768514,15000,50,3650
2024-06-06,HR,288157,8000,50,3749
2024-06-06,Operations,610834,12000,50,3527
2024-06-07,Finance,491059,10000,50,5816
2024-06-07,IT,727626,15000,50,5514
2024-06-07,HR,285660,8000,50,3825
2024-06-07,Operations,627450,12000,50,3412
2024-06-08,Finance,491814,10000,50,2063
2024-06-08,IT,749216,15000,50,2135
2024-06-08,HR,289345,8000,50,4190
2024-06-08,Operations,628133,12000,50,3477
2024-06-09,Finance,538365,10000,50,3825
2024-06-09,IT,666463,15000,50,2994
2024-06-09,HR,309162,8000,50,2237
2024-06-09,Operations,657855,12000,50,2515
2024-06-10,Finance,510271,10000,50,4297
2024-06-10,IT,698252,15000,50,3266
2024-06-10,HR,307290,8000,50,5406
2024-06-10,Operations,579836,12000,50,4019
2024-06-11,Finance,483450,10000,50,4864
2024-06-11,IT,716180,15000,50,5703
2024-06-11,HR,328078,8000,50,5798
2024-06-11,Operations,647777,12000,50,2194
2024-06-12,Finance,486802,10000,50,3219
2024-06-12,IT,705060,15000,50,4448
2024-06-12,HR,313386,8000,50,4522
2024-06-12,Operations,636387,12000,50,4037
2024-06-13,Finance,522919,10000,50,5672
2024-06-13,IT,706607,15000,50,3462
2024-06-13,HR,325719,8000,50,4740
2024-06-13,Operations,589591,12000,50,4578
2024-06-14,Finance,513128,10000,50,3880
2024-06-14,IT,749369,15000,50,2032
2024-06-14,HR,312055,8000,50,5258
2024-06-14,Operations,574229,12000,50,5658
2024-06-15,Finance,523105,10000,50,5635
2024-06-15,IT,752925,15000,50,2203
2024-06-15,HR,309709,8000,50,3615
2024-06-15,Operations,619252,12000,50,4741
