date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-06-16,Finance,525571,10000,50,2456
2024-06-16,IT,765809,15000,50,3326
2024-06-16,HR,316336,8000,50,2365
2024-06-16,Operations,613088,12000,50,4964
2024-06-17,Finance,476649,10000,50,2438
2024-06-17,IT,693092,15000,50,2152
2024-06-17,HR,314147,8000,50,4687
2024-06-17,Operations,637004,12000,50,3832
2024-06-18,Finance,549555,10000,50,4517
2024-06-18,IT,730658,15000,50,5593
2024-06-18,HR,328674,8000,50,4317
2024-06-18,Operations,617012,12000,50,2743
2024-06-19,Finance,483535,10000,50,4806
2024-06-19,IT,724328,15000,50,3368
2024-06-19,HR,291778,8000,50,3584
2024-06-19,Operations,659780,12000,50,4108
2024-06-20,Finance,483594,10000,50,3944
2024-06-20,IT,694757,15000,50,3682
2024-06-20,HR,290067,8000,50,3015
2024-06-20,Operations,597412,12000,50,5327
2024-06-21,Finance,523839,10000,50,3893
2024-06-21,IT,722365,15000,50,2964
2024-06-21,HR,301060,8000,50,5093
2024-06-21,Operations,611477,12000,50,2098
2024-06-22,Finance,538693,10000,50,5707
2024-06-22,IT,684926,15000,50,2893
2024-06-22,HR,309461,8000,50,2944
2024-06-22,Operations,618570,12000,50,3058
2024-06-23,Finance,520412,10000,50,3968
2024-06-23,IT,711373,15000,50,2563
2024-06-23,HR,285673,8000,50,2411
2024-06-23,Operations,611030,12000,50,4934
2024-06-24,Finance,481575,10000,50,5761
2024-06-24,IT,694449,15000,50,2273
2024-06-24,HR,307108,8000,50,3485
2024-06-24,Operations,575242,12000,50,5511
2024-06-25,Finance,514572,10000,50,3789
2024-06-25,IT,749245,15000,50,5879
2024-06-25,HR,320746,8000,50,5103
2024-06-25,Operations,585808,12000,50,2331
2024-06-26,Finance,494358,10000,50,3709
2024-06-26,IT,769311,15000,50,4156
2024-06-26,HR,311431,8000,50,5584
2024-06-26,Operations,600980,12000,50,4679
2024-06-27,Finance,487265,10000,50,2661
2024-06-27,IT,673712,15000,50,4965
2024-06-27,HR,295203,8000,50,5549
2024-06-27,Operations,571786,12000,50,3001
2024-06-28,Finance,496013,10000,50,5942
2024-06-28,IT,681718,15000,50,2645
2024-06-28,HR,306906,8000,50,2034
2024-06-28,Operations,643437,12000,50,3683
2024-06-29,Finance,526700,10000,50,5691
2024-06-29,IT,747542,15000,50,3451
2024-06-29,HR,295398,8000,50,5887
2024-06-29,Operations,614461,12000,50,3383
2024-06-30,Finance,504547,10000,50,3111
2024-06-30,IT,686787,15000,50,4474
2024-06-30,HR,323300,8000,50,5462
2024-06-30,Operations,651783,12000,50,5721
