date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-03-16,Finance,481962,10000,50,2221
2024-03-16,IT,687050,15000,50,3959
2024-03-16,HR,300419,8000,50,3989
2024-03-16,Operations,643920,12000,50,2942
2024-03-17,Finance,531441,10000,50,3659
2024-03-17,IT,746149,15000,50,5805
2024-03-17,HR,287922,8000,50,3361
2024-03-17,Operations,614838,12000,50,4563
2024-03-18,Finance,539788,10000,50,2841
2024-03-18,IT,754266,15000,50,2941
2024-03-18,HR,301395,8000,50,3978
2024-03-18,Operations,616534,12000,50,3880
2024-03-19,Finance,477499,10000,50,4546
2024-03-19,IT,675368,15000,50,2999
2024-03-19,HR,327701,8000,50,5513
2024-03-19,Operations,608419,12000,50,5218
2024-03-20,Finance,496636,10000,50,5691
2024-03-20,IT,711972,15000,50,5770
2024-03-20,HR,310233,8000,50,2593
2024-03-20,Operations,594447,12000,50,3582
2024-03-21,Finance,535166,10000,50,2976
2024-03-21,IT,717750,15000,50,5763
2024-03-21,HR,299837,8000,50,4228
2024-03-21,Operations,603309,12000,50,2386
2024-03-22,Finance,518213,10000,50,5980
2024-03-22,IT,693301,15000,50,2578
2024-03-22,HR,304756,8000,50,2915
2024-03-22,Operations,585290,12000,50,4150
2024-03-23,Finance,476415,10000,50,3261
2024-03-23,IT,672331,15000,50,2117
2024-03-23,HR,321091,8000,50,4954
2024-03-23,Operations,625039,12000,50,3834
2024-03-24,Finance,530519,10000,50,3476
2024-03-24,IT,679968,15000,50,5117
2024-03-24,HR,317462,8000,50,2841
2024-03-24,Operations,607213,12000,50,5729
2024-03-25,Finance,486763,10000,50,4630
2024-03-25,IT,712033,15000,50,2741
2024-03-25,HR,295743,8000,50,2686
2024-03-25,Operations,617798,12000,50,2389
2024-03-26,Finance,484814,10000,50,4149
2024-03-26,IT,681032,15000,50,5548
2024-03-26,HR,325690,8000,50,3971
2024-03-26,Operations,579223,12000,50,5559
2024-03-27,Finance,492630,10000,50,3419
2024-03-27,IT,713297,15000,50,5197
2024-03-27,HR,288197,8000,50,3486
2024-03-27,Operations,589239,12000,50,4837
2024-03-28,Finance,486632,10000,50,5129
2024-03-28,IT,680543,15000,50,3781
2024-03-28,HR,293034,8000,50,5538
2024-03-28,Operations,574005,12000,50,5623
2024-03-29,Finance,486073,10000,50,4343
2024-03-29,IT,708980,15000,50,3703
2024-03-29,HR,315741,8000,50,4751
2024-03-29,Operations,613302,12000,50,4269
2024-03-30,Finance,541221,10000,50,4278
2024-03-30,IT,695090,15000,50,4378
2024-03-30,HR,319634,8000,50,2152
2024-03-30,Operations,597362,12000,50,3046
2024-03-31,Finance,481817,10000,50,5108
2024-03-31,IT,667955,15000,50,2874
2024-03-31,HR,322543,8000,50,3189
2024-03-31,Operations,601219,12000,50,4688
