date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-05-01,Finance,524883,10000,50,2615
2024-05-01,IT,671586,15000,50,2953
2024-05-01,HR,310435,8000,50,2925
2024-05-01,Operations,641010,12000,50,4398
2024-05-02,Finance,534201,10000,50,4634
2024-05-02,IT,680175,15000,50,5972
2024-05-02,HR,312411,8000,50,2927
2024-05-02,Operations,630267,12000,50,2129
2024-05-03,Finance,503296,10000,50,3772
2024-05-03,IT,731782,15000,50,5394
2024-05-03,HR,300701,8000,50,4267
2024-05-03,Operations,644874,12000,50,3736
2024-05-04,Finance,476325,10000,50,5137
2024-05-04,IT,738919,15000,50,4741
2024-05-04,HR,294451,8000,50,3891
2024-05-04,Operations,599448,12000,50,3699
2024-05-05,Finance,547670,10000,50,5629
2024-05-05,IT,709159,15000,50,4685
2024-05-05,HR,310029,8000,50,5414
2024-05-05,Operations,598897,12000,50,2882
2024-05-06,Finance,487893,10000,50,4986
2024-05-06,IT,704416,15000,50,3803
2024-05-06,HR,304621,8000,50,5049
2024-05-06,Operations,587398,12000,50,3801
2024-05-07,Finance,508728,10000,50,2030
2024-05-07,IT,691658,15000,50,2583
2024-05-07,HR,303497,8000,50,5737
2024-05-07,Operations,622291,12000,50,5350
2024-05-08,Finance,529069,10000,50,3708
2024-05-08,IT,747252,15000,50,4869
2024-05-08,HR,316859,8000,50,3951
2024-05-08,Operations,609253,12000,50,4110
2024-05-09,Finance,515000,10000,50,2931
2024-05-09,IT,705676,15000,50,4818
2024-05-09,HR,306368,8000,50,2371
2024-05-09,Operations,592568,12000,50,5013
2024-05-10,Finance,510283,10000,50,4029
2024-05-10,IT,734312,15000,50,3092
2024-05-10,HR,323856,8000,50,2578
2024-05-10,Operations,575979,12000,50,3194
2024-05-11,Finance,519637,10000,50,4042
2024-05-11,IT,748740,15000,50,3662
2024-05-11,HR,326492,8000,50,5426
2024-05-11,Operations,631989,12000,50,4153
2024-05-12,Finance,494401,10000,50,3849
2024-05-12,IT,674043,15000,50,2904
2024-05-12,HR,307487,8000,50,3794
2024-05-12,Operations,655513,12000,50,5124
2024-05-13,Finance,500218,10000,50,2926
2024-05-13,IT,745093,15000,50,3142
2024-05-13,HR,304463,8000,50,3509
2024-05-13,Operations,596699,12000,50,2027
2024-05-14,Finance,525573,10000,50,2602
2024-05-14,IT,689194,15000,50,2852
2024-05-14,HR,328728,8000,50,5777
2024-05-14,Operations,592274,12000,50,3046
2024-05-15,Finance,511545,10000,50,3760
2024-05-15,IT,760225,15000,50,4683
2024-05-15,HR,295654,8000,50,4854
2024-05-15,Operations,573191,12000,50,2695
