date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-04-01,P002,Printer,Electronics,15855,6,95130,Amazon
2024-04-01,P005,Software License,Software,21371,6,128226,MakeMyTrip
2024-04-01,P001,Laptop,Electronics,52656,1,52656,Swiggy
2024-04-01,P002,Printer,Electronics,15085,8,120680,Amazon
2024-04-01,P004,Desk,Office,9062,8,72496,Amazon
2024-04-01,P002,Printer,Electronics,16210,1,16210,Flipkart
2024-04-01,P001,Laptop,Electronics,55514,10,555140,MakeMyTrip
2024-04-01,P005,Software License,Software,19535,4,78140,MakeMyTrip
2024-04-01,P006,Flight Ticket,Travel,7616,5,38080,Flipkart
2024-04-01,P001,Laptop,Electronics,48583,9,437247,Flipkart
2024-04-01,P004,Desk,Office,9358,2,18716,Uber
2024-04-01,P004,Desk,Office,9353,1,9353,Flipkart
2024-04-01,P004,Desk,Office,9167,7,64169,MakeMyTrip
2024-04-01,P003,Office Chair,Office,5587,2,11174,Uber
2024-04-01,P001,Laptop,Electronics,56420,3,169260,Amazon
2024-04-01,P008,Food Catering,Food,3270,8,26160,Swiggy
2024-04-01,P001,Laptop,Electronics,56316,6,337896,Amazon
2024-04-01,P004,Desk,Office,8599,9,77391,Flipkart
2024-04-01,P002,Printer,Electronics,15151,4,60604,MakeMyTrip
2024-04-01,P005,Software License,Software,20274,3,60822,Uber
2024-04-01,P002,Printer,Electronics,14715,7,103005,Uber
2024-04-01,P008,Food Catering,Food,2875,3,8625,Swiggy
2024-04-01,P008,Food Catering,Food,3295,9,29655,Flipkart
2024-04-01,P002,Printer,Electronics,15857,6,95142,Swiggy
2024-04-01,P006,Flight Ticket,Travel,7719,10,77190,Swiggy
2024-04-01,P001,Laptop,Electronics,56133,3,169458,Amazon
2024-04-01,P003,Office Chair,Office,4615,1,4615,MakeMyTrip
2024-04-01,P001,Laptop,Electronics,49987,1,49987,Uber
2024-04-01,P001,Laptop,Electronics,46298,9,416682,MakeMyTrip
2024-04-01,P006,Flight Ticket,Travel,7736,7,54152,Uber
2024-04-01,P005,Software License,Software,19503,2,39006,MakeMyTrip
2024-04-01,P001,Laptop,Electronics,50876,9,457884,MakeMyTrip
2024-04-01,P004,Desk,Office,9158,3,27474,Amazon
2024-04-01,P008,Food Catering,Food,3458,8,27664,Amazon
2024-04-01,P006,Flight Ticket,Travel,6879,6,41274,Swiggy
2024-04-01,P005,Software License,Software,18253,3,54759,Flipkart
2024-04-01,P006,Flight Ticket,Travel,7312,2,18825,Uber
2024-04-01,P003,Office Chair,Office,5531,8,44248,Uber
2024-04-01,P003,Office Chair,Office,5603,5,28015,Swiggy
2024-04-01,P004,Desk,Office,8944,9,80496,Uber
2024-04-01,P004,Desk,Office,8988,9,80892,Swiggy
2024-04-01,P002,Printer,Electronics,14256,3,42768,Flipkart
2024-04-01,P006,Flight Ticket,Travel,7638,4,30552,Uber
2024-04-01,P007,Hotel Booking,Travel,6135,1,6135,Swiggy
2024-04-01,P003,Office Chair,Office,4971,8,39768,Swiggy
2024-04-01,P002,Printer,Electronics,15899,10,158990,Amazon
2024-04-01,P004,Desk,Office,7292,2,14584,Amazon
2024-04-01,P006,Flight Ticket,Travel,8066,10,82307,MakeMyTrip
2024-04-01,P004,Desk,Office,8811,10,88110,MakeMyTrip
2024-04-01,P004,Desk,Office,8101,4,32404,MakeMyTrip
2024-04-02,P006,Flight Ticket,Travel,7878,2,15756,Flipkart
2024-04-02,P006,Flight Ticket,Travel,8035,4,32140,Uber
2024-04-02,P007,Hotel Booking,Travel,6407,4,25628,Flipkart
2024-04-02,P008,Food Catering,Food,3409,6,20454,Amazon
2024-04-02,P003,Office Chair,Office,5331,8,42648,Swiggy
2024-04-02,P001,Laptop,Electronics,58718,4,234872,Swiggy
2024-04-02,P004,Desk,Office,7569,6,45414,Uber
2024-04-02,P003,Office Chair,Office,5240,9,47160,Uber
2024-04-02,P008,Food Catering,Food,2883,4,16046,Swiggy
2024-04-02,P002,Printer,Electronics,14806,1,14806,MakeMyTrip
2024-04-02,P003,Office Chair,Office,4881,2,9762,Flipkart
2024-04-02,P002,Printer,Electronics,15506,8,124048,Swiggy
2024-04-02,P006,Flight Ticket,Travel,8394,10,83940,Uber
2024-04-02,P008,Food Catering,Food,3092,8,24736,MakeMyTrip
2024-04-02,P005,Software License,Software,20424,9,183816,Amazon
2024-04-02,P005,Software License,Software,22695,2,45390,Amazon
2024-04-02,P002,Printer,Electronics,14716,9,132444,Swiggy
2024-04-02,P001,Laptop,Electronics,57772,1,57772,Swiggy
2024-04-02,P007,Hotel Booking,Travel,5775,8,46200,Uber
2024-04-02,P005,Software License,Software,22113,9,199017,Amazon
2024-04-02,P005,Software License,Software,20266,10,202660,MakeMyTrip
2024-04-02,P008,Food Catering,Food,2719,6,16314,MakeMyTrip
2024-04-02,P007,Hotel Booking,Travel,6008,1,6008,Swiggy
2024-04-02,P008,Food Catering,Food,3138,4,12552,Uber
2024-04-02,P003,Office Chair,Office,5558,7,43782,Amazon
2024-04-02,P004,Desk,Office,7236,6,46918,Uber
2024-04-02,P005,Software License,Software,19843,1,19843,Flipkart
2024-04-02,P008,Food Catering,Food,2923,5,14615,Swiggy
2024-04-02,P001,Laptop,Electronics,47666,2,95332,Uber
