date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-04-16,P008,Food Catering,Food,3029,3,9087,MakeMyTrip
2024-04-16,P002,Printer,Electronics,15883,10,158830,Flipkart
2024-04-16,P007,Hotel Booking,Travel,5445,4,21780,Swiggy
2024-04-16,P005,Software License,Software,23761,5,118805,Swiggy
2024-04-16,P004,Desk,Office,9547,7,66829,Amazon
2024-04-16,P008,Food Catering,Food,3220,1,3220,Amazon
2024-04-16,P002,Printer,Electronics,16047,6,96282,Swiggy
2024-04-16,P005,Software License,Software,20780,8,166240,Uber
2024-04-16,P003,Office Chair,Office,5452,2,10904,Swiggy
2024-04-16,P003,Office Chair,Office,4672,7,32704,Flipkart
2024-04-16,P005,Software License,Software,19320,7,135240,Flipkart
2024-04-16,P007,Hotel Booking,Travel,6381,8,51048,MakeMyTrip
2024-04-16,P002,Printer,Electronics,14724,9,132516,MakeMyTrip
2024-04-16,P008,Food Catering,Food,3202,6,19212,Amazon
2024-04-16,P001,Laptop,Electronics,57335,7,401345,Swiggy
2024-04-16,P004,Desk,Office,7460,8,59680,Flipkart
2024-04-16,P001,Laptop,Electronics,48106,10,481060,Amazon
2024-04-16,P003,Office Chair,Office,4621,1,4621,Flipkart
2024-04-16,P003,Office Chair,Office,5051,5,25255,Swiggy
2024-04-16,P002,Printer,Electronics,16277,10,162770,Flipkart
2024-04-16,P005,Software License,Software,23542,9,211878,Amazon
2024-04-16,P005,Software License,Software,22794,8,182352,Flipkart
2024-04-16,P005,Software License,Software,20589,3,61767,MakeMyTrip
2024-04-16,P003,Office Chair,Office,5329,7,37303,Swiggy
2024-04-16,P005,Software License,Software,20015,6,120090,Uber
2024-04-16,P005,Software License,Software,21594,3,64782,Flipkart
2024-04-16,P003,Office Chair,Office,5482,7,38374,Uber
2024-04-16,P005,Software License,Software,23215,2,46430,Flipkart
2024-04-16,P008,Food Catering,Food,2871,6,17226,MakeMyTrip
2024-04-16,P004,Desk,Office,7253,2,14506,Flipkart
2024-04-16,P006,Flight Ticket,Travel,7073,9,63657,Flipkart
2024-04-16,P006,Flight Ticket,Travel,6860,4,27440,Uber
2024-04-16,P007,Hotel Booking,Travel,5477,3,16431,MakeMyTrip
2024-04-16,P002,Printer,Electronics,17583,6,105498,MakeMyTrip
2024-04-16,P006,Flight Ticket,Travel,6461,6,38766,Flipkart
2024-04-16,P002,Printer,Electronics,13776,5,68880,Uber
2024-04-16,P003,Office Chair,Office,5747,6,34482,Uber
2024-04-16,P008,Food Catering,Food,3227,1,3227,Swiggy
2024-04-16,P006,Flight Ticket,Travel,6450,4,25800,Uber
2024-04-16,P006,Flight Ticket,Travel,8175,7,61137,MakeMyTrip
2024-04-16,P007,Hotel Booking,Travel,5794,8,46352,Flipkart
2024-04-16,P005,Software License,Software,18650,7,130550,Flipkart
2024-04-16,P008,Food Catering,Food,2744,5,13720,Uber
2024-04-16,P005,Software License,Software,18964,6,113784,MakeMyTrip
2024-04-16,P007,Hotel Booking,Travel,6671,7,46697,Uber
2024-04-16,P002,Printer,Electronics,16078,6,96468,Amazon
2024-04-16,P008,Food Catering,Food,3425,2,6850,Swiggy
2024-04-16,P004,Desk,Office,8274,10,82740,Uber
2024-04-16,P005,Software License,Software,22990,4,91960,Uber
2024-04-16,P002,Printer,Electronics,16853,9,151677,Swiggy
2024-04-17,P005,Software License,Software,20973,9,188757,Uber
2024-04-17,P003,Office Chair,Office,5198,1,5198,MakeMyTrip
2024-04-17,P001,Laptop,Electronics,59606,10,596060,Uber
2024-04-17,P006,Flight Ticket,Travel,8047,4,32188,Swiggy
2024-04-17,P006,Flight Ticket,Travel,7327,8,58616,Uber
2024-04-17,P006,Flight Ticket,Travel,7713,9,69417,Amazon
2024-04-17,P003,Office Chair,Office,5044,1,6468,Uber
2024-04-17,P006,Flight Ticket,Travel,8340,3,25020,MakeMyTrip
2024-04-17,P001,Laptop,Electronics,48537,3,145611,Uber
2024-04-17,P001,Laptop,Electronics,54050,3,162150,Amazon
2024-04-17,P003,Office Chair,Office,4570,7,31990,Swiggy
2024-04-17,P001,Laptop,Electronics,52683,1,52683,Flipkart
2024-04-17,P004,Desk,Office,7695,7,53865,Flipkart
2024-04-17,P002,Printer,Electronics,15667,7,109669,MakeMyTrip
2024-04-17,P007,Hotel Booking,Travel,6638,1,6638,Swiggy
2024-04-17,P006,Flight Ticket,Travel,6721,9,60489,Uber
2024-04-17,P004,Desk,Office,9583,7,67081,MakeMyTrip
2024-04-17,P001,Laptop,Electronics,56568,3,169704,Swiggy
2024-04-17,P007,Hotel Booking,Travel,5741,7,40187,Swiggy
2024-04-17,P006,Flight Ticket,Travel,7286,6,43716,Amazon
2024-04-17,P005,Software License,Software,19842,8,158736,Uber
2024-04-17,P006,Flight Ticket,Travel,7966,8,63728,Swiggy
2024-04-17,P003,Office Chair,Office,4715,10,47150,Uber
2024-04-17,P005,Software License,Software,23729,10,237290,MakeMyTrip
2024-04-17,P005,Software License,Software,18127,1,18127,Flipkart
2024-04-17,P008,Food Catering,Food,2717,5,13585,MakeMyTrip
2024-04-17,P008,Food Catering,Food,2715,3,8145,Flipkart
2024-04-17,P001,Laptop,Electronics,53567,7,377391,Flipkart
2024-04-17,P006,Flight Ticket,Travel,7084,3,21252,Uber
2024-04-17,P008,Food Catering,Food,3402,3,10206,MakeMyTrip
2024-04-17,P005,Software License,Software,23504,3,70512,Flipkart
2024-04-17,P005,Software License,Software,21212,4,84848,Swiggy
2024-04-17,P008,Food Catering,Food,2869,2,5738,MakeMyTrip
2024-04-17,P003,Office Chair,Office,5417,5,28758,Uber
