date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-02-01,P003,Office Chair,Office,5614,5,28070,Amazon
2024-02-01,P002,Printer,Electronics,15641,10,156410,MakeMyTrip
2024-02-01,P004,Desk,Office,7515,1,7515,Amazon
2024-02-01,P004,Desk,Office,9365,2,18730,MakeMyTrip
2024-02-01,P004,Desk,Office,8218,1,8218,Uber
2024-02-01,P001,Laptop,Electronics,53229,5,266145,Swiggy
2024-02-01,P008,Food Catering,Food,3147,7,22029,Flipkart
2024-02-01,P004,Desk,Office,8619,9,77571,Amazon
2024-02-01,P007,Hotel Booking,Travel,6813,9,61317,MakeMyTrip
2024-02-01,P008,Food Catering,Food,3228,3,9684,Amazon
2024-02-01,P003,Office Chair,Office,5603,10,56030,Swiggy
2024-02-01,P003,Office Chair,Office,5717,9,51453,Flipkart
2024-02-01,P005,Software License,Software,20709,10,207090,Flipkart
2024-02-01,P002,Printer,Electronics,15918,9,143262,Amazon
2024-02-01,P001,Laptop,Electronics,59475,9,535275,Swiggy
2024-02-01,P001,Laptop,Electronics,51433,10,514330,MakeMyTrip
2024-02-01,P003,Office Chair,Office,4637,9,41733,Swiggy
2024-02-01,P003,Office Chair,Office,5266,8,42128,Amazon
2024-02-01,P003,Office Chair,Office,4584,8,36672,Swiggy
2024-02-01,P003,Office Chair,Office,4741,2,9482,Amazon
2024-02-01,P001,Laptop,Electronics,55766,9,501894,MakeMyTrip
2024-02-01,P008,Food Catering,Food,3588,2,7176,MakeMyTrip
2024-02-01,P008,Food Catering,Food,3325,7,23275,MakeMyTrip
2024-02-01,P003,Office Chair,Office,5636,2,11272,MakeMyTrip
2024-02-01,P002,Printer,Electronics,13926,6,83556,MakeMyTrip
2024-02-01,P002,Printer,Electronics,16255,10,162550,MakeMyTrip
2024-02-01,P004,Desk,Office,8300,7,58100,MakeMyTrip
2024-02-01,P002,Printer,Electronics,17778,3,53334,Uber
2024-02-01,P004,Desk,Office,8531,6,51186,Uber
2024-02-01,P005,Software License,Software,19718,4,78872,Uber
2024-02-01,P002,Printer,Electronics,17538,7,122766,Uber
2024-02-01,P001,Laptop,Electronics,59501,10,595010,Amazon
2024-02-01,P001,Laptop,Electronics,46416,6,278496,MakeMyTrip
2024-02-01,P001,Laptop,Electronics,46998,10,469980,MakeMyTrip
2024-02-01,P006,Flight Ticket,Travel,7354,4,29416,Flipkart
2024-02-01,P005,Software License,Software,23177,1,23177,Flipkart
2024-02-01,P006,Flight Ticket,Travel,8348,6,50088,Uber
2024-02-01,P006,Flight Ticket,Travel,8049,7,56343,Flipkart
