date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-02-16,P008,Food Catering,Food,3083,2,6166,Swiggy
2024-02-16,P007,Hotel Booking,Travel,5886,1,5886,Swiggy
2024-02-16,P001,Laptop,Electronics,47975,7,335825,Uber
2024-02-16,P002,Printer,Electronics,13681,8,109448,Flipkart
2024-02-16,P006,Flight Ticket,Travel,6992,7,48944,Swiggy
2024-02-16,P007,Hotel Booking,Travel,6575,5,37513,Flipkart
2024-02-16,P006,Flight Ticket,Travel,7390,9,66510,Uber
2024-02-16,P002,Printer,Electronics,13911,7,97377,MakeMyTrip
2024-02-16,P006,Flight Ticket,Travel,6891,7,48237,MakeMyTrip
2024-02-16,P001,Laptop,Electronics,58253,8,466024,Amazon
2024-02-16,P003,Office Chair,Office,5821,1,5821,Amazon
2024-02-16,P005,Software License,Software,19040,2,38080,Flipkart
2024-02-16,P003,Office Chair,Office,5528,4,22112,Uber
2024-02-16,P008,Food Catering,Food,3138,7,21966,Swiggy
2024-02-16,P006,Flight Ticket,Travel,7057,1,7057,Flipkart
2024-02-16,P002,Printer,Electronics,15562,9,140058,Swiggy
2024-02-16,P002,Printer,Electronics,16309,1,19656,MakeMyTrip
2024-02-16,P006,Flight Ticket,Travel,7843,9,70587,Amazon
2024-02-16,P008,Food Catering,Food,3049,2,6098,Swiggy
2024-02-16,P008,Food Catering,Food,3379,1,3379,Amazon
2024-02-16,P002,Printer,Electronics,13938,5,69690,Amazon
2024-02-16,P005,Software License,Software,20381,10,203810,Swiggy
2024-02-16,P001,Laptop,Electronics,50280,7,351960,MakeMyTrip
2024-02-16,P006,Flight Ticket,Travel,8323,8,66584,MakeMyTrip
2024-02-16,P008,Food Catering,Food,3415,4,13660,Swiggy
2024-02-16,P002,Printer,Electronics,15101,6,90606,MakeMyTrip
2024-02-16,P007,Hotel Booking,Travel,5445,6,32670,MakeMyTrip
2024-02-16,P005,Software License,Software,22944,1,22944,Uber
2024-02-16,P006,Flight Ticket,Travel,6848,7,47936,MakeMyTrip
2024-02-16,P007,Hotel Booking,Travel,6808,2,13616,Swiggy
2024-02-16,P008,Food Catering,Food,2802,2,5604,MakeMyTrip
2024-02-16,P002,Printer,Electronics,15766,5,78830,Uber
2024-02-16,P008,Food Catering,Food,2949,10,29490,MakeMyTrip
2024-02-16,P007,Hotel Booking,Travel,6008,9,54072,Uber
2024-02-16,P008,Food Catering,Food,3273,9,32752,MakeMyTrip
2024-02-16,P005,Software License,Software,19666,8,157328,Amazon
2024-02-16,P003,Office Chair,Office,5548,1,5548,Uber
2024-02-16,P008,Food Catering,Food,3441,5,17205,Uber
2024-02-16,P004,Desk,Office,8568,6,51408,Flipkart
2024-02-16,P004,Desk,Office,7494,4,29976,Flipkart
2024-02-16,P007,Hotel Booking,Travel,6824,5,34120,Swiggy
2024-02-16,P003,Office Chair,Office,4896,3,14688,Amazon
2024-02-16,P006,Flight Ticket,Travel,7379,10,77145,Swiggy
2024-02-16,P005,Software License,Software,19374,4,77496,Swiggy
2024-02-16,P005,Software License,Software,21283,5,106415,MakeMyTrip
2024-02-16,P001,Laptop,Electronics,55271,8,442168,Amazon
2024-02-16,P001,Laptop,Electronics,46293,9,416637,MakeMyTrip
2024-02-16,P004,Desk,Office,8801,2,17602,Amazon
2024-02-16,P001,Laptop,Electronics,45491,2,90982,Flipkart
2024-02-16,P001,Laptop,Electronics,46623,3,139869,Swiggy
2024-02-17,P003,Office Chair,Office,5437,9,48933,Flipkart
2024-02-17,P001,Laptop,Electronics,48553,9,436977,Flipkart
2024-02-17,P007,Hotel Booking,Travel,5518,6,33108,Uber
2024-02-17,P002,Printer,Electronics,17698,4,70792,Amazon
2024-02-17,P005,Software License,Software,23544,7,164808,Amazon
2024-02-17,P006,Flight Ticket,Travel,7075,10,70750,MakeMyTrip
2024-02-17,P003,Office Chair,Office,5189,10,51890,Amazon
2024-02-17,P003,Office Chair,Office,5930,7,41510,MakeMyTrip
2024-02-17,P005,Software License,Software,22459,8,179672,Flipkart
2024-02-17,P004,Desk,Office,9167,5,45835,Flipkart
2024-02-17,P002,Printer,Electronics,15898,3,47694,Swiggy
2024-02-17,P007,Hotel Booking,Travel,6228,1,6228,Amazon
2024-02-17,P003,Office Chair,Office,4925,8,39400,MakeMyTrip
2024-02-17,P004,Desk,Office,9199,8,73592,MakeMyTrip
2024-02-17,P007,Hotel Booking,Travel,6322,5,31610,MakeMyTrip
2024-02-17,P004,Desk,Office,7676,7,53732,MakeMyTrip
2024-02-17,P008,Food Catering,Food,2920,7,20440,Swiggy
2024-02-17,P003,Office Chair,Office,5924,2,11848,Flipkart
2024-02-17,P005,Software License,Software,18045,2,36090,Amazon
2024-02-17,P006,Flight Ticket,Travel,7465,10,79060,Uber
2024-02-17,P006,Flight Ticket,Travel,6689,7,46823,Amazon
2024-02-17,P003,Office Chair,Office,4536,6,27216,Swiggy
2024-02-17,P005,Software License,Software,23100,6,138600,Swiggy
2024-02-17,P002,Printer,Electronics,14362,1,14362,Amazon
