date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-01-16,P008,Food Catering,Food,2746,1,2746,Swiggy
2024-01-16,P005,Software License,Software,21433,8,171464,MakeMyTrip
2024-01-16,P003,Office Chair,Office,4908,4,19632,Amazon
2024-01-16,P007,Hotel Booking,Travel,6269,5,31345,Uber
2024-01-16,P001,Laptop,Electronics,52896,7,375149,MakeMyTrip
2024-01-16,P004,Desk,Office,9171,7,64197,Amazon
2024-01-16,P006,Flight Ticket,Travel,7918,9,71262,Uber
2024-01-16,P002,Printer,Electronics,17297,4,69188,Uber
2024-01-16,P008,Food Catering,Food,2872,3,13147,Uber
2024-01-16,P005,Software License,Software,18398,7,128786,Amazon
2024-01-16,P004,Desk,Office,9053,9,81477,Swiggy
2024-01-16,P006,Flight Ticket,Travel,7896,9,71064,MakeMyTrip
2024-01-16,P004,Desk,Office,8160,8,65280,Flipkart
2024-01-16,P001,Laptop,Electronics,46535,1,46535,Flipkart
2024-01-16,P002,Printer,Electronics,17389,2,34778,Amazon
2024-01-16,P008,Food Catering,Food,2788,6,16728,Amazon
2024-01-16,P004,Desk,Office,7918,6,47508,Amazon
2024-01-16,P004,Desk,Office,7292,6,43752,Uber
2024-01-16,P007,Hotel Booking,Travel,5430,5,27150,Uber
2024-01-16,P004,Desk,Office,7518,5,37590,Amazon
2024-01-16,P004,Desk,Office,9293,7,65051,MakeMyTrip
2024-01-16,P008,Food Catering,Food,2998,3,8994,Amazon
2024-01-16,P001,Laptop,Electronics,59661,4,238644,Uber
2024-01-16,P003,Office Chair,Office,4542,3,13626,Swiggy
2024-01-16,P006,Flight Ticket,Travel,8175,5,40875,Swiggy
2024-01-16,P001,Laptop,Electronics,48413,3,145239,Amazon
2024-01-16,P008,Food Catering,Food,3517,4,18839,MakeMyTrip
2024-01-16,P008,Food Catering,Food,3242,6,19452,Uber
2024-01-16,P004,Desk,Office,7513,2,15026,Amazon
2024-01-16,P004,Desk,Office,7845,6,47070,Amazon
2024-01-16,P005,Software License,Software,20404,1,23939,Uber
2024-01-16,P008,Food Catering,Food,3238,5,16190,Swiggy
2024-01-16,P004,Desk,Office,8294,5,41470,Swiggy
2024-01-16,P001,Laptop,Electronics,47994,5,241197,Flipkart
2024-01-16,P001,Laptop,Electronics,56319,8,450552,Amazon
2024-01-16,P002,Printer,Electronics,17736,5,88680,Swiggy
2024-01-16,P007,Hotel Booking,Travel,6727,1,6727,Amazon
2024-01-16,P002,Printer,Electronics,15744,4,62976,Flipkart
2024-01-16,P001,Laptop,Electronics,52089,5,260445,Flipkart
2024-01-16,P007,Hotel Booking,Travel,6101,8,48808,Amazon
2024-01-16,P002,Printer,Electronics,17711,10,177110,MakeMyTrip
2024-01-16,P007,Hotel Booking,Travel,6388,6,38328,Uber
2024-01-16,P003,Office Chair,Office,4813,5,24065,Swiggy
2024-01-16,P001,Laptop,Electronics,47320,9,425880,Uber
2024-01-16,P001,Laptop,Electronics,45216,8,361728,Swiggy
2024-01-16,P007,Hotel Booking,Travel,6060,1,9373,Swiggy
2024-01-16,P008,Food Catering,Food,3340,1,3340,Flipkart
2024-01-16,P001,Laptop,Electronics,54333,6,325998,Uber
2024-01-16,P002,Printer,Electronics,15738,1,15738,Swiggy
2024-01-16,P002,Printer,Electronics,14760,5,73800,Flipkart
2024-01-17,P006,Flight Ticket,Travel,6649,4,26596,Swiggy
2024-01-17,P001,Laptop,Electronics,53755,7,376285,Uber
2024-01-17,P004,Desk,Office,8187,10,85973,Swiggy
2024-01-17,P006,Flight Ticket,Travel,7944,9,75447,Swiggy
2024-01-17,P006,Flight Ticket,Travel,8231,6,49386,Amazon
