date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-06-01,P005,Software License,Software,20230,9,182070,Flipkart
2024-06-01,P006,Flight Ticket,Travel,7358,4,29432,Amazon
2024-06-01,P001,Laptop,Electronics,59516,9,537951,Flipkart
2024-06-01,P006,Flight Ticket,Travel,7706,5,38530,MakeMyTrip
2024-06-01,P003,Office Chair,Office,5836,5,29180,Amazon
2024-06-01,P003,Office Chair,Office,4723,1,4723,Flipkart
2024-06-01,P006,Flight Ticket,Travel,8180,2,16360,Amazon
2024-06-01,P007,Hotel Booking,Travel,6643,7,46501,Flipkart
2024-06-01,P007,Hotel Booking,Travel,5469,3,16407,MakeMyTrip
2024-06-01,P002,Printer,Electronics,15773,4,63092,Swiggy
2024-06-01,P003,Office Chair,Office,5110,6,30660,MakeMyTrip
2024-06-01,P006,Flight Ticket,Travel,7754,4,31016,Flipkart
2024-06-01,P003,Office Chair,Office,4817,7,33719,Amazon
2024-06-01,P004,Desk,Office,7261,5,36305,Amazon
2024-06-01,P001,Laptop,Electronics,52518,2,105036,Uber
2024-06-01,P005,Software License,Software,20914,9,190260,Uber
2024-06-01,P005,Software License,Software,18630,1,18630,Flipkart
2024-06-01,P007,Hotel Booking,Travel,6755,9,60795,Amazon
2024-06-01,P007,Hotel Booking,Travel,6407,5,32035,Uber
2024-06-01,P003,Office Chair,Office,5466,5,27330,Swiggy
2024-06-01,P002,Printer,Electronics,17367,9,156303,Uber
2024-06-01,P002,Printer,Electronics,14353,4,57412,Flipkart
2024-06-01,P006,Flight Ticket,Travel,7403,10,74030,Swiggy
2024-06-01,P002,Printer,Electronics,13668,1,13668,Swiggy
2024-06-01,P005,Software License,Software,18906,2,37812,MakeMyTrip
2024-06-01,P008,Food Catering,Food,2926,8,23408,MakeMyTrip
2024-06-01,P003,Office Chair,Office,4762,4,19048,Amazon
2024-06-01,P007,Hotel Booking,Travel,6429,10,64290,Flipkart
2024-06-01,P005,Software License,Software,23711,3,71133,Flipkart
2024-06-01,P003,Office Chair,Office,5587,7,39109,Uber
2024-06-01,P008,Food Catering,Food,2706,6,16236,Swiggy
2024-06-01,P005,Software License,Software,21747,5,108735,Flipkart
2024-06-01,P004,Desk,Office,7579,5,37895,Swiggy
2024-06-01,P008,Food Catering,Food,2920,10,29200,Uber
2024-06-01,P003,Office Chair,Office,5557,10,55570,MakeMyTrip
2024-06-01,P007,Hotel Booking,Travel,6938,8,56877,Swiggy
2024-06-01,P001,Laptop,Electronics,50083,9,450747,MakeMyTrip
2024-06-01,P003,Office Chair,Office,5403,4,21612,Flipkart
2024-06-01,P008,Food Catering,Food,2918,1,2918,MakeMyTrip
2024-06-01,P007,Hotel Booking,Travel,5772,10,57720,Amazon
2024-06-01,P002,Printer,Electronics,14947,6,89682,MakeMyTrip
2024-06-01,P004,Desk,Office,7728,10,77280,Amazon
2024-06-01,P006,Flight Ticket,Travel,7884,6,47304,Uber
2024-06-01,P001,Laptop,Electronics,52053,2,104106,MakeMyTrip
2024-06-01,P002,Printer,Electronics,14120,10,141200,Amazon
2024-06-01,P005,Software License,Software,21997,10,219970,Uber
2024-06-01,P001,Laptop,Electronics,47595,5,237975,Uber
