date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-06-16,P003,Office Chair,Office,5903,4,23612,Uber
2024-06-16,P005,Software License,Software,20094,8,160752,MakeMyTrip
2024-06-16,P001,Laptop,Electronics,57129,5,285645,Flipkart
2024-06-16,P006,Flight Ticket,Travel,7924,7,55468,Amazon
2024-06-16,P004,Desk,Office,8636,2,17272,MakeMyTrip
2024-06-16,P005,Software License,Software,19833,9,178497,Swiggy
2024-06-16,P002,Printer,Electronics,17023,1,17023,Swiggy
2024-06-16,P008,Food Catering,Food,2989,9,26901,MakeMyTrip
2024-06-16,P007,Hotel Booking,Travel,6419,7,44933,MakeMyTrip
2024-06-16,P003,Office Chair,Office,5496,2,10992,MakeMyTrip
2024-06-16,P003,Office Chair,Office,5310,9,47790,Flipkart
2024-06-16,P002,Printer,Electronics,15351,4,61404,Uber
2024-06-16,P008,Food Catering,Food,2889,7,20223,Flipkart
2024-06-16,P003,Office Chair,Office,5607,6,33642,Flipkart
2024-06-16,P007,Hotel Booking,Travel,5756,8,46048,MakeMyTrip
2024-06-16,P002,Printer,Electronics,17150,2,34300,Uber
2024-06-16,P004,Desk,Office,7630,4,31760,Uber
2024-06-16,P006,Flight Ticket,Travel,8169,1,8169,Flipkart
2024-06-16,P005,Software License,Software,20172,4,80688,Uber
2024-06-16,P008,Food Catering,Food,3205,4,12820,Amazon
2024-06-16,P006,Flight Ticket,Travel,8019,8,64152,Uber
2024-06-16,P005,Software License,Software,21736,6,130416,MakeMyTrip
2024-06-16,P001,Laptop,Electronics,45519,6,273114,Uber
2024-06-16,P001,Laptop,Electronics,58484,2,116968,MakeMyTrip
2024-06-16,P004,Desk,Office,8361,2,16722,Uber
2024-06-16,P008,Food Catering,Food,3298,3,9894,MakeMyTrip
2024-06-16,P001,Laptop,Electronics,59485,4,237940,MakeMyTrip
2024-06-16,P005,Software License,Software,21723,6,130338,Swiggy
2024-06-16,P003,Office Chair,Office,5687,1,5687,Flipkart
2024-06-16,P005,Software License,Software,18423,5,92115,MakeMyTrip
2024-06-16,P008,Food Catering,Food,3289,3,9867,MakeMyTrip
2024-06-16,P007,Hotel Booking,Travel,5478,1,5478,MakeMyTrip
2024-06-16,P007,Hotel Booking,Travel,7118,6,42708,Flipkart
2024-06-16,P003,Office Chair,Office,5660,3,16980,Flipkart
2024-06-16,P006,Flight Ticket,Travel,7839,2,15678,Amazon
2024-06-16,P002,Printer,Electronics,17838,7,124866,Swiggy
2024-06-16,P002,Printer,Electronics,14733,7,103131,Flipkart
2024-06-16,P006,Flight Ticket,Travel,6878,2,13756,Flipkart
2024-06-16,P002,Printer,Electronics,15141,3,45423,Amazon
2024-06-16,P006,Flight Ticket,Travel,7932,6,47592,Swiggy
2024-06-16,P007,Hotel Booking,Travel,7155,6,42930,Amazon
2024-06-16,P003,Office Chair,Office,5685,1,5685,Swiggy
2024-06-16,P008,Food Catering,Food,3563,5,17815,MakeMyTrip
2024-06-16,P003,Office Chair,Office,5826,1,5826,Amazon
2024-06-16,P003,Office Chair,Office,5748,8,45984,MakeMyTrip
2024-06-16,P006,Flight Ticket,Travel,7130,10,73267,Uber
2024-06-16,P003,Office Chair,Office,5222,5,26110,MakeMyTrip
2024-06-16,P005,Software License,Software,20808,7,145656,MakeMyTrip
2024-06-16,P007,Hotel Booking,Travel,6742,2,13484,Swiggy
2024-06-16,P007,Hotel Booking,Travel,5899,9,54297,Swiggy
2024-06-17,P005,Software License,Software,20228,3,60684,MakeMyTrip
2024-06-17,P005,Software License,Software,21938,7,153566,Flipkart
2024-06-17,P007,Hotel Booking,Travel,6229,1,6229,Flipkart
