date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-03-01,P008,Food Catering,Food,3200,5,16000,Amazon
2024-03-01,P002,Printer,Electronics,16530,10,165300,Uber
2024-03-01,P006,Flight Ticket,Travel,8168,7,57176,Amazon
2024-03-01,P006,Flight Ticket,Travel,7420,1,7420,Uber
2024-03-01,P006,Flight Ticket,Travel,6864,6,41184,Swiggy
2024-03-01,P002,Printer,Electronics,15984,10,159840,Swiggy
2024-03-01,P001,Laptop,Electronics,55240,4,220960,Flipkart
2024-03-01,P003,Office Chair,Office,5012,5,25060,Amazon
2024-03-01,P004,Desk,Office,8650,4,34600,Amazon
2024-03-01,P005,Software License,Software,22885,9,205965,MakeMyTrip
2024-03-01,P003,Office Chair,Office,5439,5,27195,Uber
2024-03-01,P004,Desk,Office,8986,8,71888,Flipkart
2024-03-01,P008,Food Catering,Food,3033,9,27297,Uber
2024-03-01,P003,Office Chair,Office,5945,8,47560,Uber
2024-03-01,P007,Hotel Booking,Travel,5696,6,34176,Swiggy
2024-03-01,P007,Hotel Booking,Travel,7139,2,14278,MakeMyTrip
2024-03-01,P003,Office Chair,Office,4701,1,4701,Amazon
2024-03-01,P004,Desk,Office,7945,1,7945,Uber
2024-03-01,P008,Food Catering,Food,3066,5,15330,Uber
2024-03-01,P006,Flight Ticket,Travel,6620,5,33100,Flipkart
2024-03-01,P005,Software License,Software,20048,9,180432,Uber
2024-03-01,P003,Office Chair,Office,4615,8,36920,Amazon
2024-03-01,P005,Software License,Software,23636,3,70908,Uber
2024-03-01,P006,Flight Ticket,Travel,6616,5,33080,Uber
2024-03-01,P001,Laptop,Electronics,51203,2,102406,Amazon
2024-03-01,P005,Software License,Software,20689,4,82756,Swiggy
2024-03-01,P001,Laptop,Electronics,52949,1,52949,MakeMyTrip
2024-03-01,P006,Flight Ticket,Travel,7312,8,58496,Flipkart
2024-03-01,P004,Desk,Office,7483,8,59864,Uber
2024-03-01,P005,Software License,Software,23464,10,234640,Swiggy
2024-03-01,P007,Hotel Booking,Travel,7000,5,35000,Amazon
2024-03-01,P001,Laptop,Electronics,59732,10,597320,Swiggy
2024-03-01,P004,Desk,Office,9374,7,65618,MakeMyTrip
2024-03-01,P003,Office Chair,Office,5047,9,45423,Swiggy
2024-03-01,P006,Flight Ticket,Travel,7137,9,64233,Amazon
2024-03-01,P006,Flight Ticket,Travel,7361,3,22083,Swiggy
2024-03-01,P002,Printer,Electronics,14622,1,14622,Flipkart
2024-03-01,P001,Laptop,Electronics,46256,9,416304,MakeMyTrip
2024-03-01,P005,Software License,Software,20050,1,20050,MakeMyTrip
2024-03-01,P007,Hotel Booking,Travel,6072,8,48576,Flipkart
2024-03-01,P003,Office Chair,Office,5787,8,46296,Flipkart
2024-03-01,P008,Food Catering,Food,3363,2,6726,Amazon
2024-03-01,P007,Hotel Booking,Travel,5527,10,55270,MakeMyTrip
2024-03-01,P002,Printer,Electronics,13625,2,27250,Swiggy
2024-03-01,P004,Desk,Office,7706,9,69354,Swiggy
2024-03-01,P003,Office Chair,Office,4579,1,4579,Swiggy
2024-03-01,P006,Flight Ticket,Travel,6557,9,59013,Amazon
2024-03-01,P005,Software License,Software,22410,5,112050,Flipkart
2024-03-01,P001,Laptop,Electronics,54302,5,271510,Swiggy
2024-03-01,P002,Printer,Electronics,13526,1,13526,MakeMyTrip
2024-03-02,P005,Software License,Software,21057,3,63171,Flipkart
2024-03-02,P004,Desk,Office,7793,8,62344,Flipkart
2024-03-02,P001,Laptop,Electronics,58753,3,176259,MakeMyTrip
2024-03-02,P008,Food Catering,Food,3271,9,29439,Swiggy
2024-03-02,P006,Flight Ticket,Travel,7083,8,56664,Amazon
2024-03-02,P002,Printer,Electronics,17904,10,179040,Uber
2024-03-02,P008,Food Catering,Food,3128,3,9384,Swiggy
2024-03-02,P002,Printer,Electronics,17761,6,106566,Amazon
2024-03-02,P004,Desk,Office,8227,10,82270,MakeMyTrip
2024-03-02,P005,Software License,Software,20225,9,182025,Amazon
2024-03-02,P005,Software License,Software,23680,10,236800,Amazon
