date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-03-16,P007,Hotel Booking,Travel,6494,6,42312,Flipkart
2024-03-16,P005,Software License,Software,20068,6,120408,Uber
2024-03-16,P005,Software License,Software,18236,10,182360,MakeMyTrip
2024-03-16,P005,Software License,Software,20205,2,40410,Amazon
2024-03-16,P001,Laptop,Electronics,50299,5,251495,Uber
2024-03-16,P003,Office Chair,Office,5212,1,5212,MakeMyTrip
2024-03-16,P003,Office Chair,Office,4588,4,18352,Uber
2024-03-16,P003,Office Chair,Office,4828,6,28968,Flipkart
2024-03-16,P007,Hotel Booking,Travel,6434,4,28122,Amazon
2024-03-16,P005,Software License,Software,18050,5,90250,Amazon
2024-03-16,P006,Flight Ticket,Travel,7005,10,70050,Swiggy
2024-03-16,P002,Printer,Electronics,15360,7,107520,MakeMyTrip
2024-03-16,P003,Office Chair,Office,5064,10,50640,MakeMyTrip
2024-03-16,P002,Printer,Electronics,16637,1,16637,Uber
2024-03-16,P005,Software License,Software,19606,3,58818,Flipkart
2024-03-16,P003,Office Chair,Office,5771,3,19005,Flipkart
2024-03-16,P006,Flight Ticket,Travel,7859,1,7859,Swiggy
2024-03-16,P003,Office Chair,Office,4671,4,18684,Flipkart
2024-03-16,P003,Office Chair,Office,5986,7,41902,Swiggy
2024-03-16,P008,Food Catering,Food,3488,6,20928,Swiggy
2024-03-16,P002,Printer,Electronics,16633,1,16633,Uber
2024-03-16,P006,Flight Ticket,Travel,7691,5,38455,MakeMyTrip
2024-03-16,P005,Software License,Software,20880,2,41760,Amazon
2024-03-16,P007,Hotel Booking,Travel,6521,1,6521,Amazon
2024-03-16,P001,Laptop,Electronics,56507,8,452056,MakeMyTrip
2024-03-16,P005,Software License,Software,23045,2,46090,Uber
2024-03-16,P005,Software License,Software,22365,5,111825,Uber
2024-03-16,P006,Flight Ticket,Travel,7363,10,73630,Swiggy
2024-03-16,P004,Desk,Office,9588,3,28764,Uber
2024-03-16,P001,Laptop,Electronics,48132,7,336924,MakeMyTrip
2024-03-16,P001,Laptop,Electronics,54414,8,435312,Uber
2024-03-16,P006,Flight Ticket,Travel,6378,9,57402,Swiggy
2024-03-16,P006,Flight Ticket,Travel,7285,3,21855,Flipkart
2024-03-16,P004,Desk,Office,8269,9,74421,MakeMyTrip
2024-03-16,P002,Printer,Electronics,16348,8,130784,Flipkart
2024-03-16,P001,Laptop,Electronics,50396,8,403168,Uber
2024-03-16,P004,Desk,Office,7760,2,15520,Flipkart
2024-03-16,P001,Laptop,Electronics,53112,10,531120,Swiggy
2024-03-16,P007,Hotel Booking,Travel,5744,4,22976,Amazon
2024-03-16,P004,Desk,Office,7586,6,45516,Flipkart
2024-03-16,P003,Office Chair,Office,4948,7,34636,Uber
2024-03-16,P002,Printer,Electronics,13731,1,13731,Flipkart
2024-03-16,P001,Laptop,Electronics,54361,2,108722,Flipkart
2024-03-16,P007,Hotel Booking,Travel,6054,6,36324,Amazon
2024-03-16,P005,Software License,Software,18335,4,73340,Amazon
2024-03-16,P006,Flight Ticket,Travel,6478,9,58302,MakeMyTrip
2024-03-16,P008,Food Catering,Food,3405,8,27240,MakeMyTrip
2024-03-16,P006,Flight Ticket,Travel,6400,2,12800,Flipkart
2024-03-16,P004,Desk,Office,7523,6,45138,Swiggy
2024-03-16,P005,Software License,Software,19029,6,114174,Swiggy
2024-03-17,P007,Hotel Booking,Travel,7071,8,56568,Amazon
2024-03-17,P003,Office Chair,Office,4861,5,24305,Amazon
2024-03-17,P002,Printer,Electronics,15042,5,75210,Amazon
2024-03-17,P007,Hotel Booking,Travel,5606,7,39242,Flipkart
2024-03-17,P006,Flight Ticket,Travel,6436,7,45052,Flipkart
2024-03-17,P006,Flight Ticket,Travel,7654,2,15308,Amazon
2024-03-17,P002,Printer,Electronics,15265,2,30530,Uber
2024-03-17,P007,Hotel Booking,Travel,6670,1,6670,Amazon
2024-03-17,P001,Laptop,Electronics,50780,4,207799,Uber
2024-03-17,P008,Food Catering,Food,3221,4,12884,Flipkart
2024-03-17,P002,Printer,Electronics,17629,8,141032,Flipkart
2024-03-17,P006,Flight Ticket,Travel,6921,2,13842,Swiggy
2024-03-17,P008,Food Catering,Food,2865,4,11460,MakeMyTrip
2024-03-17,P003,Office Chair,Office,5038,6,30228,Swiggy
2024-03-17,P005,Software License,Software,22518,5,112590,MakeMyTrip
2024-03-17,P001,Laptop,Electronics,55070,7,385490,Amazon
