date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-05-01,P003,Office Chair,Office,5884,9,52956,Flipkart
2024-05-01,P003,Office Chair,Office,4721,1,4721,Swiggy
2024-05-01,P003,Office Chair,Office,5434,1,5434,Amazon
2024-05-01,P001,Laptop,Electronics,49554,7,346878,Flipkart
2024-05-01,P004,Desk,Office,8925,7,62475,Uber
2024-05-01,P002,Printer,Electronics,14185,10,141850,Flipkart
2024-05-01,P004,Desk,Office,8048,8,64384,MakeMyTrip
2024-05-01,P003,Office Chair,Office,4539,6,27234,MakeMyTrip
2024-05-01,P001,Laptop,Electronics,47786,2,95572,MakeMyTrip
2024-05-01,P005,Software License,Software,20604,4,82416,Uber
2024-05-01,P003,Office Chair,Office,5216,8,41728,MakeMyTrip
2024-05-01,P001,Laptop,Electronics,50197,4,200788,Amazon
2024-05-01,P001,Laptop,Electronics,53208,9,478872,Amazon
2024-05-01,P006,Flight Ticket,Travel,7097,4,28388,Swiggy
2024-05-01,P003,Office Chair,Office,5898,9,53082,MakeMyTrip
2024-05-01,P005,Software License,Software,20232,10,203385,Amazon
2024-05-01,P006,Flight Ticket,Travel,7314,3,21942,MakeMyTrip
2024-05-01,P001,Laptop,Electronics,56060,10,560600,Flipkart
2024-05-01,P003,Office Chair,Office,5240,1,5240,Amazon
2024-05-01,P001,Laptop,Electronics,49664,7,347648,Uber
2024-05-01,P001,Laptop,Electronics,53233,5,266165,Uber
2024-05-01,P005,Software License,Software,22336,3,67008,Uber
2024-05-01,P007,Hotel Booking,Travel,6326,5,31630,Swiggy
2024-05-01,P001,Laptop,Electronics,51880,5,262172,MakeMyTrip
2024-05-01,P005,Software License,Software,18792,4,75168,Swiggy
2024-05-01,P004,Desk,Office,8446,1,8446,Flipkart
2024-05-01,P003,Office Chair,Office,5631,2,11262,Flipkart
2024-05-01,P007,Hotel Booking,Travel,6589,6,39534,Uber
2024-05-01,P003,Office Chair,Office,4566,9,41094,MakeMyTrip
2024-05-01,P005,Software License,Software,20163,3,60489,Flipkart
2024-05-01,P006,Flight Ticket,Travel,6713,1,6713,Uber
2024-05-01,P001,Laptop,Electronics,45177,9,406593,Swiggy
2024-05-01,P003,Office Chair,Office,4980,7,34860,Flipkart
2024-05-01,P002,Printer,Electronics,14007,9,126063,Swiggy
2024-05-01,P007,Hotel Booking,Travel,6543,6,39258,Uber
2024-05-01,P006,Flight Ticket,Travel,7694,2,15388,Swiggy
2024-05-01,P002,Printer,Electronics,14697,8,117576,Uber
2024-05-01,P004,Desk,Office,7229,8,57832,Swiggy
2024-05-01,P005,Software License,Software,23068,1,23068,MakeMyTrip
2024-05-01,P006,Flight Ticket,Travel,7571,6,45426,MakeMyTrip
2024-05-01,P004,Desk,Office,8397,2,16794,Uber
2024-05-01,P006,Flight Ticket,Travel,7591,2,15182,MakeMyTrip
2024-05-01,P007,Hotel Booking,Travel,5410,7,37870,Amazon
2024-05-01,P007,Hotel Booking,Travel,6630,8,53040,Swiggy
2024-05-01,P008,Food Catering,Food,3085,9,30860,Amazon
2024-05-01,P004,Desk,Office,8219,1,8219,Amazon
2024-05-01,P004,Desk,Office,8838,10,88380,Uber
2024-05-01,P007,Hotel Booking,Travel,6162,9,55458,Uber
2024-05-01,P004,Desk,Office,8373,4,33492,Flipkart
2024-05-01,P006,Flight Ticket,Travel,6480,4,25920,Swiggy
2024-05-02,P002,Printer,Electronics,16712,7,120947,Amazon
2024-05-02,P004,Desk,Office,7516,1,7516,Uber
2024-05-02,P008,Food Catering,Food,2794,3,8382,Amazon
2024-05-02,P005,Software License,Software,20141,8,161128,Swiggy
