date,product_id,product_name,category,unit_price,quantity,total_price,vendor
2024-05-16,P007,Hotel Booking,Travel,6653,8,53224,Uber
2024-05-16,P003,Office Chair,Office,5965,6,35790,Amazon
2024-05-16,P004,Desk,Office,7475,6,44850,Swiggy
2024-05-16,P006,Flight Ticket,Travel,7880,4,31520,Swiggy
2024-05-16,P006,Flight Ticket,Travel,6947,10,72833,MakeMyTrip
2024-05-16,P007,Hotel Booking,Travel,5410,3,16230,Swiggy
2024-05-16,P008,Food Catering,Food,3515,9,31635,Flipkart
2024-05-16,P001,Laptop,Electronics,53817,7,376719,Amazon
2024-05-16,P003,Office Chair,Office,5856,3,17568,Amazon
2024-05-16,P008,Food Catering,Food,3138,9,28242,Swiggy
2024-05-16,P006,Flight Ticket,Travel,7109,5,35545,MakeMyTrip
2024-05-16,P003,Office Chair,Office,5528,6,33168,Swiggy
2024-05-16,P002,Printer,Electronics,15709,1,15709,Uber
2024-05-16,P003,Office Chair,Office,5498,5,27490,Flipkart
2024-05-16,P004,Desk,Office,7474,1,7474,Swiggy
2024-05-16,P008,Food Catering,Food,3139,6,18834,Swiggy
2024-05-16,P006,Flight Ticket,Travel,8116,5,40580,Amazon
2024-05-16,P003,Office Chair,Office,5349,9,48141,Flipkart
2024-05-16,P004,Desk,Office,9108,1,9108,MakeMyTrip
2024-05-16,P006,Flight Ticket,Travel,7714,4,30856,Flipkart
2024-05-16,P001,Laptop,Electronics,56083,8,448664,Amazon
2024-05-16,P002,Printer,Electronics,15327,7,107289,MakeMyTrip
2024-05-16,P005,Software License,Software,18983,10,189830,MakeMyTrip
2024-05-16,P001,Laptop,Electronics,46969,2,93938,Flipkart
2024-05-16,P006,Flight Ticket,Travel,7374,4,29496,Uber
2024-05-16,P007,Hotel Booking,Travel,6829,7,47803,Uber
2024-05-16,P007,Hotel Booking,Travel,5868,4,23472,Flipkart
2024-05-16,P007,Hotel Booking,Travel,6414,4,25656,Uber
2024-05-16,P003,Office Chair,Office,5444,3,16332,Swiggy
2024-05-16,P003,Office Chair,Office,4978,8,39824,MakeMyTrip
2024-05-16,P001,Laptop,Electronics,48439,4,193756,Swiggy
2024-05-16,P002,Printer,Electronics,16311,10,163110,Swiggy
2024-05-16,P001,Laptop,Electronics,54668,3,164004,Swiggy
2024-05-16,P005,Software License,Software,20522,9,184698,Amazon
2024-05-16,P005,Software License,Software,19981,10,199810,Uber
2024-05-16,P001,Laptop,Electronics,50508,2,101016,Flipkart
2024-05-16,P005,Software License,Software,21297,7,149079,Amazon
2024-05-16,P002,Printer,Electronics,14923,4,59692,Flipkart
2024-05-16,P008,Food Catering,Food,2816,4,11264,Swiggy
2024-05-16,P007,Hotel Booking,Travel,6534,2,13068,Amazon
2024-05-16,P001,Laptop,Electronics,54689,1,54689,Flipkart
2024-05-16,P005,Software License,Software,18970,5,94850,Uber
2024-05-16,P005,Software License,Software,23676,6,142056,Uber
2024-05-16,P004,Desk,Office,7731,8,61848,Swiggy
2024-05-16,P007,Hotel Booking,Travel,7020,2,14040,Swiggy
2024-05-16,P005,Software License,Software,20192,1,20192,Amazon
2024-05-16,P004,Desk,Office,9495,5,47475,Uber
2024-05-16,P004,Desk,Office,7811,9,70299,Swiggy
2024-05-16,P006,Flight Ticket,Travel,8292,9,74628,Uber
2024-05-16,P005,Software License,Software,19350,5,96750,Amazon
2024-05-17,P006,Flight Ticket,Travel,7596,8,60768,Uber
2024-05-17,P002,Printer,Electronics,17330,6,103980,MakeMyTrip
2024-05-17,P001,Laptop,Electronics,57516,3,172548,Swiggy
2024-05-17,P005,Software License,Software,23550,3,70650,Flipkart
2024-05-17,P008,Food Catering,Food,3394,6,20364,Swiggy
2024-05-17,P001,Laptop,Electronics,49412,2,98824,Amazon
2024-05-17,P001,Laptop,Electronics,56927,6,341562,Amazon
2024-05-17,P006,Flight Ticket,Travel,8271,1,8271,Swiggy
2024-05-17,P005,Software License,Software,21248,5,106240,MakeMyTrip
2024-05-17,P008,Food Catering,Food,3268,10,32680,MakeMyTrip
2024-05-17,P008,Food Catering,Food,2739,7,21412,Uber
2024-05-17,P003,Office Chair,Office,4836,9,46176,Flipkart
2024-05-17,P004,Desk,Office,9021,4,36084,Flipkart
2024-05-17,P005,Software License,Software,22114,8,176912,Amazon
2024-05-17,P008,Food Catering,Food,3055,5,15275,Amazon
2024-05-17,P005,Software License,Software,19751,10,197510,Amazon
2024-05-17,P007,Hotel Booking,Travel,6070,9,54630,Uber
2024-05-17,P007,Hotel Booking,Travel,5854,1,5854,Amazon
2024-05-17,P005,Software License,Software,22913,7,160391,Flipkart
2024-05-17,P001,Laptop,Electronics,51327,10,513270,Swiggy
2024-05-17,P004,Desk,Office,9057,5,45285,MakeMyTrip
2024-05-17,P001,Laptop,Electronics,57974,9,524166,MakeMyTrip
2024-05-17,P001,Laptop,Electronics,57896,8,463168,Amazon
2024-05-17,P008,Food Catering,Food,2706,1,2706,Flipkart
2024-05-17,P002,Printer,Electronics,14522,9,130698,Flipkart
2024-05-17,P006,Flight Ticket,Travel,7078,5,35390,MakeMyTrip
2024-05-17,P008,Food Catering,Food,3232,10,32320,Amazon
2024-05-17,P006,Flight Ticket,Travel,7965,6,47790,Swiggy
2024-05-17,P004,Desk,Office,8922,1,8922,Swiggy
2024-05-17,P006,Flight Ticket,Travel,6669,1,6669,Flipkart
2024-05-17,P003,Office Chair,Office,4524,9,40716,Amazon
2024-05-17,P003,Office Chair,Office,4849,9,43641,Swiggy
2024-05-17,P008,Food Catering,Food,3145,5,17102,Uber
2024-05-17,P008,Food Catering,Food,3286,3,9858,MakeMyTrip
2024-05-17,P008,Food Catering,Food,2834,4,11336,Amazon
2024-05-17,P008,Food Catering,Food,3513,8,28104,Uber
2024-05-17,P005,Software License,Software,23765,1,23765,MakeMyTrip
2024-05-17,P001,Laptop,Electronics,45803,9,412227,MakeMyTrip
2024-05-17,P004,Desk,Office,8724,7,61068,Uber
2024-05-17,P008,Food Catering,Food,3238,6,19428,Amazon
2024-05-17,P007,Hotel Booking,Travel,6166,7,43162,Swiggy
2024-05-17,P005,Software License,Software,23083,3,69249,Uber
2024-05-17,P003,Office Chair,Office,4558,6,27348,Flipkart
2024-05-17,P007,Hotel Booking,Travel,5646,6,33876,Amazon
2024-05-17,P005,Software License,Software,18504,7,129528,Uber
2024-05-17,P005,Software License,Software,20093,4,80372,Amazon
2024-05-17,P003,Office Chair,Office,5402,4,21608,Uber
2024-05-17,P007,Hotel Booking,Travel,6713,2,13426,Amazon
2024-05-17,P003,Office Chair,Office,5353,7,37471,Flipkart
2024-05-17,P002,Printer,Electronics,13956,10,139560,Flipkart
2024-05-18,P006,Flight Ticket,Travel,6751,3,20253,Uber
2024-05-18,P002,Printer,Electronics,17953,10,179530,Flipkart
2024-05-18,P008,Food Catering,Food,3434,10,34340,MakeMyTrip
2024-05-18,P008,Food Catering,Food,3521,5,17605,Flipkart
2024-05-18,P004,Desk,Office,9332,8,74656,MakeMyTrip
2024-05-18,P007,Hotel Booking,Travel,5818,8,46544,Uber
2024-05-18,P006,Flight Ticket,Travel,8234,2,16468,Flipkart
2024-05-18,P003,Office Chair,Office,5708,6,34248,Amazon
2024-05-18,P005,Software License,Software,21537,7,154826,Swiggy
2024-05-18,P007,Hotel Booking,Travel,5539,8,44312,Swiggy
2024-05-18,P006,Flight Ticket,Travel,6965,1,6965,Swiggy
2024-05-18,P002,Printer,Electronics,16486,8,131888,MakeMyTrip
2024-05-18,P005,Software License,Software,22620,9,203580,Amazon
2024-05-18,P006,Flight Ticket,Travel,6780,3,20340,Swiggy
2024-05-18,P001,Laptop,Electronics,52135,10,521350,Uber
2024-05-18,P008,Food Catering,Food,2779,5,13895,Flipkart
2024-05-18,P001,Laptop,Electronics,49648,3,148944,Flipkart
2024-05-18,P002,Printer,Electronics,17783,4,71132,MakeMyTrip
2024-05-18,P003,Office Chair,Office,4950,8,39600,MakeMyTrip
2024-05-18,P008,Food Catering,Food,3280,4,13120,Amazon
2024-05-18,P003,Office Chair,Office,4505,7,31535,Flipkart
2024-05-18,P005,Software License,Software,22143,5,110715,Amazon
2024-05-18,P007,Hotel Booking,Travel,6745,5,33725,MakeMyTrip
2024-05-18,P002,Printer,Electronics,15484,5,77420,Flipkart
2024-05-18,P007,Hotel Booking,Travel,5830,3,17490,Uber
2024-05-18,P001,Laptop,Electronics,56797,8,454376,MakeMyTrip
2024-05-18,P007,Hotel Booking,Travel,5527,8,44216,Uber
2024-05-18,P007,Hotel Booking,Travel,5955,6,35730,Uber
2024-05-18,P008,Food Catering,Food,2896,4,11584,Flipkart
2024-05-18,P008,Food Catering,Food,3589,3,10767,Uber
2024-05-18,P006,Flight Ticket,Travel,8217,10,82170,Swiggy
2024-05-18,P004,Desk,Office,8041,5,40205,MakeMyTrip
2024-05-18,P001,Laptop,Electronics,47545,2,95090,Swiggy
2024-05-18,P008,Food Catering,Food,2758,4,11032,Flipkart
