date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-02-16,Finance,524002,10000,50,3866
2024-02-16,IT,764780,15000,50,5682
2024-02-16,HR,305408,8000,50,3587
2024-02-16,Operations,619253,12000,50,5667
2024-02-17,Finance,480895,10000,50,3574
2024-02-17,IT,686309,15000,50,5015
2024-02-17,HR,326637,8000,50,5777
2024-02-17,Operations,633274,12000,50,5172
2024-02-18,Finance,534960,10000,50,2761
2024-02-18,IT,751036,15000,50,2093
2024-02-18,HR,326820,8000,50,5749
2024-02-18,Operations,654681,12000,50,5989
2024-02-19,Finance,493209,10000,50,2923
2024-02-19,IT,693111,15000,50,4811
2024-02-19,HR,309700,8000,50,5411
2024-02-19,Operations,647041,12000,50,2072
2024-02-20,Finance,495834,10000,50,4684
2024-02-20,IT,768353,15000,50,3769
2024-02-20,HR,286734,8000,50,5637
2024-02-20,Operations,636374,12000,50,3030
2024-02-21,Finance,480660,10000,50,5737
2024-02-21,IT,697035,15000,50,2232
2024-02-21,HR,303146,8000,50,4959
2024-02-21,Operations,659809,12000,50,4230
2024-02-22,Finance,504463,10000,50,4848
2024-02-22,IT,678166,15000,50,3687
2024-02-22,HR,300510,8000,50,5451
2024-02-22,Operations,639367,12000,50,2447
2024-02-23,Finance,535745,10000,50,2621
2024-02-23,IT,714141,15000,50,2527
2024-02-23,HR,315900,8000,50,5858
2024-02-23,Operations,596713,12000,50,3502
2024-02-24,Finance,500782,10000,50,5859
2024-02-24,IT,677212,15000,50,5168
2024-02-24,HR,290168,8000,50,2177
2024-02-24,Operations,611674,12000,50,3234
2024-02-25,Finance,481313,10000,50,2303
2024-02-25,IT,722452,15000,50,3125
2024-02-25,HR,309048,8000,50,3770
2024-02-25,Operations,657555,12000,50,3413
2024-02-26,Finance,489662,10000,50,5230
2024-02-26,IT,697229,15000,50,5090
2024-02-26,HR,285668,8000,50,3198
2024-02-26,Operations,636216,12000,50,3826
2024-02-27,Finance,531918,10000,50,4177
2024-02-27,IT,701656,15000,50,2713
2024-02-27,HR,321213,8000,50,3235
2024-02-27,Operations,606351,12000,50,3259
2024-02-28,Finance,541866,10000,50,4056
2024-02-28,IT,684825,15000,50,5245
2024-02-28,HR,287621,8000,50,5868
2024-02-28,Operations,601850,12000,50,4812
