date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-01-01,Finance,505732,10000,50,5499
2024-01-01,IT,739479,15000,50,5038
2024-01-01,HR,312158,8000,50,5064
2024-01-01,Operations,585848,12000,50,5711
2024-01-02,Finance,516276,10000,50,2676
2024-01-02,IT,712136,15000,50,2204
2024-01-02,HR,308582,8000,50,2729
2024-01-02,Operations,578185,12000,50,3809
2024-01-03,Finance,525371,10000,50,3534
2024-01-03,IT,673513,15000,50,3252
2024-01-03,HR,317777,8000,50,2044
2024-01-03,Operations,651017,12000,50,4854
2024-01-04,Finance,522256,10000,50,2048
2024-01-04,IT,741233,15000,50,3986
2024-01-04,HR,320694,8000,50,2198
2024-01-04,Operations,617702,12000,50,5123
2024-01-05,Finance,543604,10000,50,2898
2024-01-05,IT,740302,15000,50,5875
2024-01-05,HR,323451,8000,50,4952
2024-01-05,Operations,641746,12000,50,2627
2024-01-06,Finance,501952,10000,50,5875
2024-01-06,IT,665222,15000,50,2519
2024-01-06,HR,311880,8000,50,4305
2024-01-06,Operations,589689,12000,50,3353
2024-01-07,Finance,514781,10000,50,3965
2024-01-07,IT,745311,15000,50,3589
2024-01-07,HR,328505,8000,50,4832
2024-01-07,Operations,604304,12000,50,2036
2024-01-08,Finance,501336,10000,50,5769
2024-01-08,IT,672052,15000,50,4090
2024-01-08,HR,302244,8000,50,5721
2024-01-08,Operations,580873,12000,50,5427
2024-01-09,Finance,510204,10000,50,2508
2024-01-09,IT,688714,15000,50,2947
2024-01-09,HR,285859,8000,50,4058
2024-01-09,Operations,640068,12000,50,4854
2024-01-10,Finance,508700,10000,50,2511
2024-01-10,IT,732791,15000,50,2888
2024-01-10,HR,318767,8000,50,3470
2024-01-10,Operations,600676,12000,50,2739
2024-01-11,Finance,523265,10000,50,2085
2024-01-11,IT,669257,15000,50,3684
2024-01-11,HR,312481,8000,50,4189
2024-01-11,Operations,576544,12000,50,3271
2024-01-12,Finance,535088,10000,50,2451
2024-01-12,IT,679551,15000,50,2925
2024-01-12,HR,323611,8000,50,2525
2024-01-12,Operations,609271,12000,50,2947
2024-01-13,Finance,514177,10000,50,3645
2024-01-13,IT,696563,15000,50,2824
2024-01-13,HR,298338,8000,50,3817
2024-01-13,Operations,586081,12000,50,2804
2024-01-14,Finance,475440,10000,50,5467
2024-01-14,IT,751057,15000,50,2338
2024-01-14,HR,302944,8000,50,3964
2024-01-14,Operations,630367,12000,50,2417
2024-01-15,Finance,507246,10000,50,5525
2024-01-15,IT,740010,15000,50,4201
2024-01-15,HR,291475,8000,50,4421
2024-01-15,Operations,578442,12000,50,2002
