date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-05-16,Finance,544269,10000,50,3989
2024-05-16,IT,710150,15000,50,2391
2024-05-16,HR,301937,8000,50,4649
2024-05-16,Operations,615512,12000,50,4776
2024-05-17,Finance,533440,10000,50,3239
2024-05-17,IT,687664,15000,50,4865
2024-05-17,HR,310224,8000,50,3717
2024-05-17,Operations,585046,12000,50,2560
2024-05-18,Finance,482855,10000,50,5887
2024-05-18,IT,666727,15000,50,5200
2024-05-18,HR,294797,8000,50,2584
2024-05-18,Operations,580183,12000,50,2163
2024-05-19,Finance,521837,10000,50,3411
2024-05-19,IT,676742,15000,50,5274
2024-05-19,HR,305586,8000,50,2521
2024-05-19,Operations,580708,12000,50,2295
2024-05-20,Finance,537430,10000,50,5075
2024-05-20,IT,696674,15000,50,5136
2024-05-20,HR,295639,8000,50,3980
2024-05-20,Operations,605805,12000,50,4467
2024-05-21,Finance,492632,10000,50,3773
2024-05-21,IT,709601,15000,50,5388
2024-05-21,HR,301798,8000,50,2284
2024-05-21,Operations,648649,12000,50,4580
2024-05-22,Finance,516536,10000,50,2277
2024-05-22,IT,671754,15000,50,5971
2024-05-22,HR,306259,8000,50,5623
2024-05-22,Operations,576078,12000,50,5554
2024-05-23,Finance,497924,10000,50,4369
2024-05-23,IT,685978,15000,50,2242
2024-05-23,HR,323056,8000,50,4009
2024-05-23,Operations,577545,12000,50,2773
2024-05-24,Finance,487871,10000,50,2592
2024-05-24,IT,668810,15000,50,4793
2024-05-24,HR,285154,8000,50,2073
2024-05-24,Operations,621402,12000,50,5574
2024-05-25,Finance,536515,10000,50,3920
2024-05-25,IT,702734,15000,50,5001
2024-05-25,HR,300610,8000,50,4770
2024-05-25,Operations,658354,12000,50,2065
2024-05-26,Finance,546004,10000,50,5534
2024-05-26,IT,753855,15000,50,4390
2024-05-26,HR,325244,8000,50,4445
2024-05-26,Operations,659682,12000,50,5306
2024-05-27,Finance,516838,10000,50,3453
2024-05-27,IT,699014,15000,50,5011
2024-05-27,HR,312150,8000,50,5815
2024-05-27,Operations,579136,12000,50,2873
2024-05-28,Finance,512175,10000,50,4124
2024-05-28,IT,726438,15000,50,2870
2024-05-28,HR,316744,8000,50,3435
2024-05-28,Operations,647876,12000,50,5421
2024-05-29,Finance,479314,10000,50,4835
2024-05-29,IT,673123,15000,50,2749
2024-05-29,HR,326900,8000,50,3449
2024-05-29,Operations,598901,12000,50,5568
2024-05-30,Finance,531406,10000,50,2854
2024-05-30,IT,716777,15000,50,5968
2024-05-30,HR,321993,8000,50,3296
2024-05-30,Operations,609911,12000,50,4066
2024-05-31,Finance,488704,10000,50,2948
2024-05-31,IT,754766,15000,50,4116
2024-05-31,HR,318090,8000,50,2606
2024-05-31,Operations,623519,12000,50,5107
