date,department,monthly_budget,expense_limit,head_count,avg_transaction
2024-03-01,Finance,524211,10000,50,3802
2024-03-01,IT,746094,15000,50,4725
2024-03-01,HR,320754,8000,50,5673
2024-03-01,Operations,592802,12000,50,3975
2024-03-02,Finance,530876,10000,50,2280
2024-03-02,IT,758717,15000,50,2450
2024-03-02,HR,310765,8000,50,4543
2024-03-02,Operations,655905,12000,50,3660
2024-03-03,Finance,486770,10000,50,5443
2024-03-03,IT,753670,15000,50,5181
2024-03-03,HR,308722,8000,50,5996
2024-03-03,Operations,577732,12000,50,3232
2024-03-04,Finance,500015,10000,50,4697
2024-03-04,IT,679459,15000,50,2808
2024-03-04,HR,294954,8000,50,5960
2024-03-04,Operations,641678,12000,50,5762
2024-03-05,Finance,479343,10000,50,2574
2024-03-05,IT,673965,15000,50,4311
2024-03-05,HR,308458,8000,50,5036
2024-03-05,Operations,613137,12000,50,3874
2024-03-06,Finance,530525,10000,50,4895
2024-03-06,IT,666485,15000,50,5697
2024-03-06,HR,329826,8000,50,5921
2024-03-06,Operations,653350,12000,50,2879
2024-03-07,Finance,540715,10000,50,2521
2024-03-07,IT,726503,15000,50,5841
2024-03-07,HR,328983,8000,50,3809
2024-03-07,Operations,631192,12000,50,3418
2024-03-08,Finance,542214,10000,50,5253
2024-03-08,IT,766674,15000,50,3484
2024-03-08,HR,327054,8000,50,3851
2024-03-08,Operations,640350,12000,50,3038
2024-03-09,Finance,547270,10000,50,2822
2024-03-09,IT,768572,15000,50,4683
2024-03-09,HR,294681,8000,50,2886
2024-03-09,Operations,578094,12000,50,4319
2024-03-10,Finance,487218,10000,50,5636
2024-03-10,IT,765988,15000,50,5031
2024-03-10,HR,287272,8000,50,4628
2024-03-10,Operations,590183,12000,50,3137
2024-03-11,Finance,508673,10000,50,2368
2024-03-11,IT,740543,15000,50,4678
2024-03-11,HR,299153,8000,50,4746
2024-03-11,Operations,640665,12000,50,3596
2024-03-12,Finance,547428,10000,50,4350
2024-03-12,IT,671026,15000,50,4989
2024-03-12,HR,328209,8000,50,2822
2024-03-12,Operations,582047,12000,50,4268
2024-03-13,Finance,518457,10000,50,2147
2024-03-13,IT,754433,15000,50,4371
2024-03-13,HR,286697,8000,50,5737
2024-03-13,Operations,626240,12000,50,5210
2024-03-14,Finance,507909,10000,50,3372
2024-03-14,IT,731318,15000,50,3813
2024-03-14,HR,307700,8000,50,3752
2024-03-14,Operations,583672,12000,50,5015
2024-03-15,Finance,509132,10000,50,3877
2024-03-15,IT,757499,15000,50,5704
2024-03-15,HR,313125,8000,50,3295
2024-03-15,Operations,597609,12000,50,3464
